title,snippet,link,position,date
Persistence of child marriage in rural Bangladesh and impact ...,"Sep 13, 2021 — Over half of all marriages were to child brides and only minor reductions were seen over the past decade. Pregnancies were common among ...",https://www.medrxiv.org/content/10.1101/2021.09.06.21263190v1,35,2022-01-25 04:47:34
Cultural Context of Child Marriage in Bangladesh - Care.org,"Nov 4, 2020 — Cultural Context of Child Marriage in Bangladesh ... The Tipping Point Community Participatory Analysis Study was designed to deepen understanding ...",https://www.care.org/news-and-stories/resources/cultural-context-of-child-marriage-in-bangladesh/,36,2022-01-25 04:47:34
Child marriage up 13% during Covid-19 pandemic in ...,"Mar 28, 2021 — Bangladesh witnessed a 13% increase in child marriages during the Covid-19 pandemic last year as the deadly virus massively affected societies ...",https://archive.dhakatribune.com/bangladesh/law-rights/2021/03/28/child-marriage-up-13-during-covid-19-pandemic-in-bangladesh,37,2022-01-25 04:47:34
Skills-Building Programs to Reduce Child Marriage in ...,by S Amin · 2018 · Cited by 33 — nity-based skills-building programs to delay child marriage among adolescent girls in rural Bangladesh. Methods: The study used a cluster randomized ...,https://www.jahonline.org/article/S1054-139X(18)30194-0/pdf,38,2022-01-25 04:47:34
Bangladesh child marriage law: Human rights groups ... - CNN,"Mar 3, 2017 — Girls under the age of 18 can be married off by their parents in undefined special circumstances under a new Bangladesh law passed this ...",https://www.cnn.com/2017/03/02/asia/bangladesh-child-marriage-law/index.html,39,2022-01-25 04:47:34
Can the COVID victims of child marriage get accountability?,"Nov 30, 2021 — The Joti Nari (Shining Women) Football team, Narail District, Bangladesh. Credit: Ricci Coughlan/DFID. Shorolika Parveen from Kurigram in ...",https://oxfamapps.org/fp2p/can-the-covid-victims-of-child-marriage-get-accountability/,40,2022-01-25 04:47:34
Marry before your house is swept away : child marriage in ...,"The report also describes failure by the Bangladesh government to take adequate steps to prevent child marriage. In 2014, Bangladesh's prime minister vowed ...",https://www.loc.gov/item/2015490062/,41,2022-01-25 04:47:34
Girls of Any Age Can Be Married in Bangladesh With New Law,A vague new child marriage law in Bangladesh invokes the parental permission loophole setting no minimum age for marriage — an astounding turn of events ...,https://www.globalcitizen.org/es/content/child-marriage-bangladesh-law/,42,2022-01-25 04:47:34
Early Marriage and Female Schooling in Bangladesh,"by E Field · 2006 · Cited by 594 — early marriage for girls in rural Bangladesh, an area with one of the highest rates of child marriage worldwide. Since it is also an environment of rapidly ...",https://wcfia.harvard.edu/files/wcfia/files/field_early.pdf,43,2022-01-25 04:47:34
Preventing early marriage in urban poor settlements in ...,"Child marriage among girls is most common in South Asia and sub-Saharan Africa, with Bangladesh having the highest rate of marriage involving girls under ...",https://www.idrc.ca/en/project/preventing-early-marriage-urban-poor-settlements-bangladesh,44,2022-01-25 04:47:34
Advocating Against Early Childhood Marriage in Bangladesh,"Child marriage is not uncommon in Bangladesh. In fact, 64% of all women aged 20-24 were married before the age of 18, according to Plan International.",https://www.fh.org/blog/early-childhood-marriage-in-bangladesh/,45,2022-01-25 04:47:34
The dangers of the new child marriage law in Bangladesh - Al ...,"Mar 4, 2017 — On February 27, the Bangladesh government passed a law that would allow for child marriage to occur in “special circumstances”.",https://www.aljazeera.com/opinions/2017/3/4/the-dangers-of-the-new-child-marriage-law-in-bangladesh,46,2022-01-25 04:47:34
Young changemakers building a Bangladesh free of child ...,"Jun 2, 2021 — Globally 23 girls under the age of 18 are married every minute, ... teenagers like herself to build a Bangladesh free of child marriage.",https://www.ashoka.org/en-us/event/wednesday-news-series-young-changemakers-building-bangladesh-free-child-marriage,47,2022-01-25 04:47:34
